# Generated from https://formulae.brew.sh/api/cask.json
# Updated 2026-09-19; 3165 unique app bundle filenames
# Format: lowercase key<TAB>Homebrew Cask token
0 a.d..app	0-ad
010 editor.app	010-editor
115browser.app	115browser
1password 7.app	1password@7
4k image compressor.app	4k-image-compressor
4k slideshow maker.app	4k-slideshow-maker
4k stogram.app	4k-stogram
4k tokkit.app	4k-tokkit
4k video downloader+.app	4k-video-downloader+
4k video downloader.app	4k-video-downloader
4k video to mp3.app	4k-video-to-mp3
4k youtube to mp3.app	4k-youtube-to-mp3
4peaks.app	4peaks
5ire.app	5ire
5kplayer.app	5kplayer
86box.app	86box
8bitdo firmware updater.app	8bitdo-firmware-updater
8bitdo ultimate software v2.app	8bitdo-ultimate-software-v2
8bitdo ultimate software.app	8bitdo-ultimate-software
8x8 work.app	8x8-work
a better finder attributes 7.app	a-better-finder-attributes
a better finder rename 12.app	a-better-finder-rename
abbyy finereader pdf.app	abbyy-finereader-pdf
ableset.app	ableset
ableton live 10 suite.app	ableton-live-suite@10
ableton live 11 intro.app	ableton-live-intro@11
ableton live 11 lite.app	ableton-live-lite@11
ableton live 11 standard.app	ableton-live-standard@11
ableton live 11 suite.app	ableton-live-suite@11
ableton live 12 intro.app	ableton-live-intro
ableton live 12 lite.app	ableton-live-lite
ableton live 12 standard.app	ableton-live-standard
ableton live 12 suite.app	ableton-live-suite
abstract.app	abstract
accessmenubarapps.app	accessmenubarapps
accord.app	accord
ace studio.app	ace-studio
acorn.app	acorn
acreom.app	acreom
active trader pro.app	active-trader-pro
activedock 2.app	activedock
actual.app	actual
adapter.app	adapter
adium.app	adium
adobe creative cloud cleaner tool.app	adobe-creative-cloud-cleaner-tool
adrafinil.app	adrafinil
adrive.app	adrive
advanced renamer.app	advanced-renamer
advancedrestclient.app	advancedrestclient
advantagescope.app	advantagescope
adze.app	adze
affine.app	affine
affinity designer 2.app	affinity-designer
affinity designer.app	affinity-designer@1
affinity photo 2.app	affinity-photo
affinity photo.app	affinity-photo@1
affinity publisher 2.app	affinity-publisher
affinity publisher.app	affinity-publisher@1
affinity.app	affinity
afterglow.app	afterglow
agent tars.app	agent-tars
agent!.app	agentiloop-agent
agentide.app	agentide
agentkube.app	agentkube
agentsmesh.app	agentsmesh
agentsview.app	agentsview
agi.app	agi
ai studio 2026.1.1.app	ai-studio
aide.app	aide-app
aider-desk.app	hotovo-aider-desk
aigcpanel.app	aigcpanel
aimersoft video converter ultimate.app	aimersoft-video-converter-ultimate
aionui.app	aionui
air video server hd.app	air-video-server-hd
air.app	jetbrains-air
airbuddy.app	airbuddy
aircall.app	aircall
airdash158.app	airdash
airdroid.app	airdroid
airflow.app	airflow
airfoil satellite.app	airfoil
airfoil.app	airfoil
airi.app	airi
airparrot 3.app	airparrot
airscroll.app	airscroll
airserver.app	airserver
airstats.app	airstats
airsync.app	airsync
airtable.app	airtable
airtame.app	airtame
airy.app	airy
akiflow.app	akiflow
aks desktop.app	aks-desktop
alcom.app	alcom
alcove.app	alcove
aldente.app	aldente
aleph one.app	aleph-one
alfred 4.app	alfred@4
algoapp.app	algoapp
algodoo.app	algodoo
alifix.app	alifix
aliwangwang.app	aliwangwang
aliworkbench.app	aliworkbench
all-in-one messenger.app	all-in-one-messenger
alma.app	alma
almighty.app	almighty
aloha.app	aloha-browser
altair graphql client.app	altair-graphql-client
altar ai.app	altar-ai
alternote.app	alternote
altersend.app	altersend
altserver.app	altserver
alttab.app	alt-tab
amadeus pro 3.app	amadeus-pro
amadine.app	amadine
amazon chime.app	amazon-chime
amazon photos.app	amazon-photos
amiberry.app	amiberry
amical.app	amical
amie.app	amie
ammonite.app	ammonite
amore.app	amore
anarlog.app	anarlog
anchor wallet.app	anchor-wallet
android file transfer.app	android-file-transfer
android performance analyzer.app	android-performance-analyzer
android studio preview canary.app	android-studio-preview@canary
androidtool.app	androidtool
ankerwork.app	ankerwork
anki.app	anki
annotate.app	annotate
another redis desktop manager.app	another-redis-desktop-manager
antconc.app	antconc
antigravity ide.app	antigravity-ide
antigravity.app	antigravity
antinote.app	antinote
anybar.app	anybar
anydesk.app	anydesk
anydo.app	anydo
anylist.app	anylist
anypointstudio.app	anypointstudio
anythingllm.app	anythingllm
apache couchdb.app	apache-couchdb
apachedirectorystudio.app	apache-directory-studio
ape.app	ape
aphera.app	aphera
apidog europe.app	apidog-europe
apidog.app	apidog
apifox.app	apifox
apipost.app	apipost
app buddy.app	app-buddy
app cleaner 10.app	app-cleaner
app fair.app	app-fair
app tamer.app	app-tamer
apparency.app	apparency
appbox.app	appbox
appcleaner.app	appcleaner
appexindexer.app	appexindexer
appflowy-arm64.app	appflowy
appgridmac.app	appgridmac
applepibaker.app	applepi-baker
applite.app	applite
approf.app	approf
appzapper.app	appzapper
aptakube.app	aptakube
aqua data studio.app	aqua-data-studio
aqua voice.app	aqua-voice
aquamacs.app	aquamacs
araxis merge.app	araxis-merge
arc.app	arc
arcbox.app	arcbox
archaeology.app	archaeology
archipelago.app	archipelago
archiver.app	archiver-app
archiveweb.page.app	archivewebpage
arctic.app	arctic
ares.app	ares-emulator
ariax.app	ariax
artisan.app	artisan
as timer.app	as-timer
asana.app	asana
aside.app	aside
asset catalog tinkerer.app	asset-catalog-tinkerer
astro command center.app	astro-command-center
astro editor.app	astro-editor
astrofox.app	astrofox
astropad studio.app	astropad-studio
atemosc.app	atemosc
atext.app	atext
athas.app	athas
atlas.app	atlas-app
atoll.app	atoll
atomic wallet.app	atomic-wallet
attachecase.app	attachecase
atuin.app	atuin-desktop
atv remote.app	atv-remote
au lab.app	au-lab
audacity 4.app	audacity
audacity.app	audacity@3
audio hijack.app	audio-hijack
audiobook builder.app	audiobook-builder
audiocupcake.app	audiocupcake
audiorelay.app	audiorelay
audirvana.app	audirvana
audius.app	audius
aurora hdr.app	aurora-hdr
ausweisapp.app	ausweisapp
auto-claude.app	auto-claude
autodmg.app	autodmg
autopkgr.app	autopkgr
avast secure browser.app	avast-secure-browser
avbeam.app	avbeam
avitools.app	avitools
avogadro2.app	avogadro
avtouchbar.app	avtouchbar
aw edid editor.app	aw-edid-editor
awa.app	awa
axure rp 11.app	axure-rp
aya.app	aya
ba connected.app	ba-connected
babeledit.app	babeledit
backblazedownloader.app	backblaze-downloader
backblazerestore.app	backblaze-restore
backdrop.app	backdrop
backuploupe.app	backuploupe
backyard ai.app	backyard-ai
badgeify.app	badgeify
badlion client.app	badlion-client
baidunetdisk_mac.app	baidunetdisk
balance lock.app	balance-lock
balenaetcher.app	balenaetcher
ball.app	ball
balsamiq wireframes.app	balsamiq-wireframes
bambu connect.app	bambu-connect
bambustudio.app	bambu-studio
banana cake pop.app	banana-cake-pop
banksiagui.app	banksiagui
banktivity.app	banktivity
bartender 7.app	bartender
base.app	base
basecamp.app	basecamp
batchoutput pdf.app	batchoutput-pdf
batfi.app	batfi
bathyscaphe.app	bathyscaphe
batteries.app	batteries
battery buddy.app	battery-buddy
battery.app	battery
bazecor.app	bazecor
bb.app	bb
bbackupp.app	bbackupp
bcut.app	bcut
bdash.app	bdash
beamer.app	beamer
bean.app	bean
beardie.app	beardie
beatunes5.app	beatunes
beaver notes.app	beaver-notes
beekeeper studio.app	beekeeper-studio
beeper desktop.app	beeper
beersmith4.app	beersmith
bentobox.app	bentobox
berrycast.app	berrycast
bespokesynth.app	bespoke
betaflight configurator.app	betaflight-configurator
betterandbetter.app	betterandbetter
bettercapture.app	bettercapture
betterdisplay.app	betterdisplay
bettermacwidgets.app	bettermacwidgets
bettermouse.app	bettermouse
bettershot.app	bettershot
betterzip.app	betterzip
beutl.app	beutl
bezel.app	bezel
bibdesk.app	bibdesk
bifrost.app	bifrost
big mean folder machine 2.app	big-mean-folder-machine
bike.app	bike
billings pro.app	billings-pro
billy frontier.app	billy-frontier
billy.app	billy
binance.app	binance
binary ninja.app	binary-ninja-free
bionic.app	lm-studio-bionic
birdfontnoncommercial.app	birdfont
biscuit.app	biscuit
bit slicer.app	bit-slicer
bitbox.app	bitbox
bitcoin-qt.app	bitcoin-core
bitmuse.app	bitmuse
bitrix24.app	bitrix24
bitwarden.app	bitwarden
bitwig studio.app	bitwig-studio
black ink.app	black-ink
black light.app	black-light
blankie.app	blankie
blender benchmark launcher.app	blender-benchmark
bleunlock.app	bleunlock
blink1control2.app	blink1control
blip.app	blip
blisk.app	blisk
blitz.app	blitz-gg
blobby.app	blobby-volley2
blockbench.app	blockbench
blockstream.app	blockstream
blocs.app	blocs
blood on the clocktower online.app	blood-on-the-clocktower-online
bloom.app	bloom
blu-ray player pro.app	blu-ray-player-pro
blu-ray player.app	blu-ray-player
blueharvest.app	blueharvest
bluej.app	bluej
bluesnooze.app	bluesnooze
bluetility.app	bluetility
bluewallet.app	bluewallet
bluos controller.app	bluos-controller
bob.app	kyokan-bob
bobhelper.app	bobhelper
boltai.app	boltai
bome network.app	bome-network
bonjeff.app	bonjeff
bookends.app	bookends
bookletcreator.app	bookletcreator
bookwright.app	bookwright
boom 2.app	boom
boom 3d.app	boom-3d
boop.app	boop
boost note.app	boost-note
boosteroid.app	boosteroid
bootstrap studio.app	bootstrap-studio
bose updater.app	bose-updater
boss.app	boss
bot framework emulator.app	bot-framework-emulator
box device trust.app	box-tools
box edit.app	box-tools
box local com server.app	box-tools
box tools custom apps.app	box-tools
boxy for calendar.app	boxy-suite
boxy for contacts.app	boxy-suite
boxy for gmail.app	boxy-suite
boxy for keep.app	boxy-suite
brain.fm.app	brainfm
bramble.app	bramble
brave browser beta.app	brave-browser@beta
brave browser nightly.app	brave-browser@nightly
brave browser.app	brave-browser
brave origin beta.app	brave-origin@beta
brave origin nightly.app	brave-origin@nightly
brave origin.app	brave-origin
breaktimer.app	breaktimer
breitbandmessung.app	breitbandmessung
brewy.app	brewy
bria.app	bria
brickstore.app	brickstore
bridge.app	bridge
brightness sync.app	brightness-sync
brightvpn.app	brightvpn
brilliant.app	brilliant
browser actions.app	browser-actions
browser deputy.app	browser-deputy
browseros.app	browseros
browserstacklocal.app	browserstacklocal
bruno.app	bruno
btcpayserver vault.app	btcpayserver-vault
buckets beta.app	buckets@beta
buckets.app	buckets
bugdom 2.app	bugdom2
bugdom.app	bugdom
buildsettingextractor.app	buildsettingextractor
bunch.app	bunch
burn.app	burn
butler.app	butler
butt.app	butt
butterkit-direct-2.4.06-macos.app	butterkit
bwana.app	bwana
bzflag-2.4.30.app	bzflag
cables.app	cables
cacher.app	cacher
cad assistant.app	cad-assistant
cadran.app	cadran
cad快速看图.app	cadreader
caido.app	caido
calcservice.app	calcservice
calendar 366 ii.app	calendar-366
calendr.app	calendr
calhash.app	calhash
calibre.app	calibre
calibrite profiler.app	calibrite-profiler
calmly writer.app	calmly-writer
calyx.app	calyx
camerabag photo.app	camerabag-photo
cameracontroller.app	cameracontroller
camo studio.app	camo-studio
camtasia.app	camtasia
camunda modeler.app	camunda-modeler
canario.app	canario
candy crisis.app	candy-crisis
canva.app	canva
cap.app	cap
capacities.app	capacities
capcut.app	capcut
captain's deck.app	captains-deck
captain.app	captain
captin.app	captin
capto.app	capto
carbide create.app	carbide-create
cardhop.app	cardhop
cardinal.app	cardinal-search
cardo update.app	cardo-update
cardpresso.app	cardpresso
cashnotify.app	cashnotify
caskhub.app	caskhub
castr.app	castr
catch.app	catch
cate.app	cate
catlight.app	catlight
cavalry.app	cavalry
cc pocket.app	cc-pocket
cc switch.app	cc-switch
ccmenu.app	ccmenu
cd to.app	cd-to
celestia.app	celestia
cemu.app	cemu
chalk.app	chalk
changes.app	changes
channel works.app	channel-works
charmstone.app	charmstone
chatall.app	chatall
chatbox.app	chatbox
chatgpt classic.app	chatgpt-classic
chatgpt.app	chatgpt
chatterino.app	chatterino
chatwise.app	chatwise
chatwork.app	chatwork
cheetah3d.app	cheetah3d
cherry studio.app	cherry-studio
chia.app	chia
chipmunk.app	chipmunk
chiri.app	chiri
chitubox.app	chitubox
choice金融终端.app	choice-financial-terminal
choragus.app	choragus
chromium.app	ungoogled-chromium
chronoid.app	chronoid
chronycontrol.app	chronycontrol
chrysalis.app	chrysalis
cinderella.app	cinderella
cinebench.app	cinebench
cirrus.app	cirrus
cisdem data recovery.app	cisdem-data-recovery
cisdem document reader.app	cisdem-document-reader
cisdem duplicate finder.app	cisdem-duplicate-finder
cisdem pdf converter ocr.app	cisdem-pdf-converter-ocr
clarc.app	clarc
clarify.app	clarify
clariti.app	clariti
clash mi.app	clash-mi
clash verge.app	clash-verge-rev
classic marathon 2.app	marathon-2
classic marathon infinity.app	marathon-infinity
classic marathon.app	marathon
classicftp.app	classicftp
classroom mode for minecraft.app	classroom-mode-for-minecraft
claude status bar.app	claude-status-bar
claude-devtools.app	claude-devtools
claude.app	claude
claudebar.app	claudebar
clawd on desk.app	clawd-on-desk
cleanapp.app	cleanapp
cleanclip.app	cleanclip
cleaneronepro.app	cleaneronepro
cleanmymac-x.app	cleanmymac-zh
cleanmymac_5.app	cleanmymac
cleanmymac_5_cli.app	cleanmymac-cli
cleanshot x.app	cleanshot
cleanupbuddy.app	cleanupbuddy
clearance.app	clearance
clearvpn.app	clearvpn
clibor.app	clibor
clickcharts.app	clickcharts
